,problem,agent,raw_trials,trials_to_criterion,participant,fails,event,num_objects
357,13,Humans,,20,28.0,0,1,4
358,14,Humans,,8,28.0,0,1,3
359,15,Humans,,1,28.0,0,1,4
360,16,Humans,,34,28.0,1,0,6
361,17,Humans,,18,28.0,0,1,4
362,18,Humans,,12,28.0,0,1,6
363,19,Humans,,9,28.0,0,1,2
364,20,Humans,,3,28.0,0,1,2
365,21,Humans,,13,28.0,0,1,2
346,2,Humans,,7,28.0,0,1,2
322,1,Humans,,0,24.0,0,1,2
345,1,Humans,,2,28.0,0,1,2
343,22,Humans,,0,24.0,0,1,3
324,3,Humans,,34,24.0,1,0,4
325,4,Humans,,4,24.0,0,1,2
326,5,Humans,,2,24.0,0,1,4
327,6,Humans,,34,24.0,1,0,4
328,7,Humans,,34,24.0,1,0,6
329,8,Humans,,15,24.0,0,1,2
330,9,Humans,,4,24.0,0,1,3
331,10,Humans,,1,24.0,0,1,4
332,11,Humans,,2,24.0,0,1,2
333,12,Humans,,4,24.0,0,1,3
334,13,Humans,,7,24.0,0,1,4
335,14,Humans,,2,24.0,0,1,3
336,15,Humans,,7,24.0,0,1,4
337,16,Humans,,34,24.0,1,0,6
338,17,Humans,,34,24.0,1,0,4
339,18,Humans,,0,24.0,0,1,6
340,19,Humans,,34,24.0,1,0,2
341,20,Humans,,34,24.0,1,0,2
342,21,Humans,,34,24.0,1,0,2
344,23,Humans,,10,24.0,0,1,3
276,1,Humans,,7,16.0,0,1,2
298,23,Humans,,1,16.0,0,1,3
274,22,Humans,,0,139.0,0,1,3
208,2,Humans,,2,132.0,0,1,2
209,3,Humans,,1,132.0,0,1,4
210,4,Humans,,1,132.0,0,1,2
211,5,Humans,,6,132.0,0,1,4
212,6,Humans,,34,132.0,1,0,4
213,7,Humans,,7,132.0,0,1,6
214,8,Humans,,7,132.0,0,1,2
215,9,Humans,,4,132.0,0,1,3
216,10,Humans,,12,132.0,0,1,4
217,11,Humans,,1,132.0,0,1,2
218,12,Humans,,5,132.0,0,1,3
219,13,Humans,,0,132.0,0,1,4
220,14,Humans,,3,132.0,0,1,3
221,15,Humans,,0,132.0,0,1,4
222,16,Humans,,5,132.0,0,1,6
223,17,Humans,,4,132.0,0,1,4
224,18,Humans,,0,132.0,0,1,6
225,19,Humans,,0,132.0,0,1,2
226,20,Humans,,0,132.0,0,1,2
207,1,Humans,,0,132.0,0,1,2
227,21,Humans,,10,132.0,0,1,2
275,23,Humans,,3,139.0,0,1,3
204,21,Humans,,17,12.0,0,1,2
185,2,Humans,,5,12.0,0,1,2
186,3,Humans,,0,12.0,0,1,4
187,4,Humans,,8,12.0,0,1,2
188,5,Humans,,34,12.0,1,0,4
189,6,Humans,,7,12.0,0,1,4
190,7,Humans,,6,12.0,0,1,6
191,8,Humans,,0,12.0,0,1,2
192,9,Humans,,2,12.0,0,1,3
193,10,Humans,,8,12.0,0,1,4
194,11,Humans,,5,12.0,0,1,2
195,12,Humans,,2,12.0,0,1,3
196,13,Humans,,6,12.0,0,1,4
197,14,Humans,,1,12.0,0,1,3
198,15,Humans,,6,12.0,0,1,4
199,16,Humans,,34,12.0,1,0,6
200,17,Humans,,34,12.0,1,0,4
201,18,Humans,,34,12.0,1,0,6
202,19,Humans,,0,12.0,0,1,2
203,20,Humans,,17,12.0,0,1,2
205,22,Humans,,0,12.0,0,1,3
228,22,Humans,,6,132.0,0,1,3
206,23,Humans,,2,12.0,0,1,3
230,1,Humans,,3,136.0,0,1,2
255,3,Humans,,3,139.0,0,1,4
256,4,Humans,,0,139.0,0,1,2
257,5,Humans,,1,139.0,0,1,4
258,6,Humans,,17,139.0,0,1,4
260,8,Humans,,11,139.0,0,1,2
261,9,Humans,,3,139.0,0,1,3
262,10,Humans,,1,139.0,0,1,4
263,11,Humans,,5,139.0,0,1,2
264,12,Humans,,2,139.0,0,1,3
265,13,Humans,,10,139.0,0,1,4
266,14,Humans,,3,139.0,0,1,3
267,15,Humans,,3,139.0,0,1,4
268,16,Humans,,34,139.0,1,0,6
269,17,Humans,,3,139.0,0,1,4
270,18,Humans,,1,139.0,0,1,6
271,19,Humans,,0,139.0,0,1,2
272,20,Humans,,0,139.0,0,1,2
273,21,Humans,,17,139.0,0,1,2
229,23,Humans,,7,132.0,0,1,3
254,2,Humans,,4,139.0,0,1,2
253,1,Humans,,5,139.0,0,1,2
259,7,Humans,,0,139.0,0,1,6
251,22,Humans,,11,136.0,0,1,3
231,2,Humans,,2,136.0,0,1,2
232,3,Humans,,10,136.0,0,1,4
233,4,Humans,,0,136.0,0,1,2
234,5,Humans,,1,136.0,0,1,4
252,23,Humans,,0,136.0,0,1,3
236,7,Humans,,0,136.0,0,1,6
237,8,Humans,,19,136.0,0,1,2
238,9,Humans,,34,136.0,1,0,3
239,10,Humans,,2,136.0,0,1,4
240,11,Humans,,2,136.0,0,1,2
235,6,Humans,,0,136.0,0,1,4
242,13,Humans,,1,136.0,0,1,4
243,14,Humans,,9,136.0,0,1,3
244,15,Humans,,0,136.0,0,1,4
245,16,Humans,,4,136.0,0,1,6
246,17,Humans,,14,136.0,0,1,4
247,18,Humans,,34,136.0,1,0,6
248,19,Humans,,0,136.0,0,1,2
249,20,Humans,,12,136.0,0,1,2
250,21,Humans,,3,136.0,0,1,2
241,12,Humans,,0,136.0,0,1,3
24,13,gpt-4-vision-preview,34.0,34,,1,0,4
22,12,gpt-4-vision-preview,34.0,34,,1,0,3
20,11,gpt-4-vision-preview,34.0,34,,1,0,2
18,10,gpt-4-vision-preview,34.0,34,,1,0,4
16,9,gpt-4-vision-preview,34.0,34,,1,0,3
14,8,gpt-4-vision-preview,22.0,15,,0,1,2
4,3,gpt-4-vision-preview,27.0,20,,0,1,4
10,6,gpt-4-vision-preview,34.0,34,,1,0,4
8,5,gpt-4-vision-preview,34.0,34,,1,0,4
6,4,gpt-4-vision-preview,8.0,1,,0,1,2
2,2,gpt-4-vision-preview,17.0,10,,0,1,2
26,14,gpt-4-vision-preview,34.0,34,,1,0,3
12,7,gpt-4-vision-preview,34.0,34,,1,0,6
28,15,gpt-4-vision-preview,23.0,16,,0,1,4
44,23,gpt-4-vision-preview,34.0,34,,1,0,3
38,20,gpt-4-vision-preview,34.0,34,,1,0,2
42,22,gpt-4-vision-preview,34.0,34,,1,0,3
40,21,gpt-4-vision-preview,34.0,34,,1,0,2
30,16,gpt-4-vision-preview,34.0,34,,1,0,6
36,19,gpt-4-vision-preview,34.0,34,,1,0,2
34,18,gpt-4-vision-preview,34.0,34,,1,0,6
0,1,gpt-4-vision-preview,12.0,5,,0,1,2
32,17,gpt-4-vision-preview,34.0,34,,1,0,4
33,17,gpt-4o,34.0,34,,1,0,4
1,1,gpt-4o,34.0,34,,1,0,2
45,23,gpt-4o,34.0,34,,1,0,3
3,2,gpt-4o,24.0,17,,0,1,2
43,22,gpt-4o,28.0,21,,0,1,3
5,3,gpt-4o,25.0,18,,0,1,4
31,16,gpt-4o,20.0,13,,0,1,6
7,4,gpt-4o,8.0,1,,0,1,2
41,21,gpt-4o,34.0,34,,1,0,2
9,5,gpt-4o,34.0,34,,1,0,4
27,14,gpt-4o,34.0,34,,1,0,3
11,6,gpt-4o,34.0,34,,1,0,4
39,20,gpt-4o,34.0,34,,1,0,2
13,7,gpt-4o,34.0,34,,1,0,6
15,8,gpt-4o,22.0,15,,0,1,2
37,19,gpt-4o,34.0,34,,1,0,2
17,9,gpt-4o,34.0,34,,1,0,3
25,13,gpt-4o,34.0,34,,1,0,4
19,10,gpt-4o,34.0,34,,1,0,4
35,18,gpt-4o,34.0,34,,1,0,6
21,11,gpt-4o,15.0,8,,0,1,2
23,12,gpt-4o,34.0,34,,1,0,3
29,15,gpt-4o,8.0,1,,0,1,4
